Steps,Weight (kg),Sleep Duration (hours),Calories Burned,Water Intake (L),Health Status
10385,79.6,8.5,2304,1.3,Unhealthy
9621,79.6,8.3,2752,1.3,Unhealthy
10445,80.1,5.6,2545,1.4,Unhealthy
9850,80.4,5,2764,1.6,Unhealthy
10200,80.1,7.2,2296,1.2,Unhealthy
9662,79.7,5.4,2784,1.2,Unhealthy
9582,79.5,8.5,2663,2.5,Unhealthy
9813,80.4,5.7,2581,2,Unhealthy
10129,79.8,4.5,2454,2.7,Unhealthy
9833,79.5,7.8,2432,2.3,Unhealthy
10035,79.8,4.9,2600,2.7,Unhealthy
10061,80.4,6.1,2476,1.4,Unhealthy
10085,80.2,6.3,2286,2.1,Unhealthy
10013,79.7,5.2,2746,1.3,Unhealthy
10366,80.4,8.7,2704,2.1,Unhealthy
10451,79.7,6.2,2210,1.8,Unhealthy
10225,80.2,7.2,2312,1.5,Unhealthy
10113,79.7,4.7,2716,2.4,Unhealthy
9596,79.6,7.5,2383,1.1,Unhealthy
10238,80.5,4.1,2609,1.1,Unhealthy
10421,80.5,4,2517,1.3,Unhealthy
10037,79.7,6.1,2700,2.4,Unhealthy
10306,80.4,8.5,2712,2.2,Unhealthy
10456,80.2,4.7,2245,1.4,Unhealthy
9529,80,7.4,2735,1.9,Unhealthy
9708,79.9,5.9,2565,1.8,Unhealthy
9801,80.5,8.8,2578,1.5,Unhealthy
10272,80.4,4.3,2232,1.4,Unhealthy
9542,80,8.4,2499,2.2,Unhealthy
9658,80.3,8.1,2567,1.7,Unhealthy
9509,79.7,4.1,2486,2,Unhealthy
10358,80,6.5,2769,1.7,Unhealthy
9784,80.3,6.9,2204,1.8,Unhealthy
9855,80.4,7.4,2294,2.7,Unhealthy
10211,80.3,4.4,2337,1.1,Unhealthy
9506,79.5,7.6,2759,1.2,Unhealthy
10308,79.9,4.4,2782,1.9,Unhealthy
10001,79.8,8.6,2427,2,Unhealthy
10028,80.1,5.6,2295,1.7,Unhealthy
9987,79.9,4.9,2453,2.8,Unhealthy
9691,80.1,9,2588,2.2,Unhealthy
9990,79.6,4.7,2759,1.6,Unhealthy
10144,79.6,8.5,2311,2,Unhealthy
9664,79.8,5.5,2259,2.8,Unhealthy
9789,79.8,7.8,2434,2.4,Unhealthy
9524,80.4,6.9,2609,1.9,Unhealthy
9503,80.2,5.1,2703,2.8,Unhealthy
9519,79.9,4.3,2675,1.7,Unhealthy
10163,80.5,5.1,2506,3,Unhealthy
9521,79.5,8.3,2641,1.2,Unhealthy
10065,79.5,6.4,2669,1.7,Unhealthy
10406,80.3,7,2419,1.6,Unhealthy
9607,80.5,4.8,2586,2.6,Unhealthy
9928,80.5,4.4,2626,2.2,Unhealthy
9622,79.8,8.6,2776,2.6,Unhealthy
9898,79.6,4.9,2616,1.8,Unhealthy
10081,80,6.3,2735,2.6,Unhealthy
